id_fdh,name,n,pos
MCADAFJB_00737,"fdoH, fdsB; formate dehydrogenase iron-sulfur subunit",1,30
MCADAFJB_00737,"fdoI, fdsG; formate dehydrogenase subunit gamma",1,30
MGAMPDCL_01600_MGAMPDCL_01601,"prkC, stkP; eukaryotic-like serine/threonine-protein kinase [EC:2.7.11.1]",1,10
MGAMPDCL_02553_MGAMPDCL_02554,NuoF / NADP-reducing hydrogenase subunit HndC,1,2
MHEPHJFC_00332_MHEPHJFC_00333,CoA-transferase,1,1
PDNGGCEH_00698,MetF,1,52
PDNGGCEH_00698,MetF-like (C terminal),1,52
PDNGGCEH_00698,NuoE,1,52
PDNGGCEH_00698,NuoF / NADP-reducing hydrogenase subunit HndC,1,52
PDNGGCEH_00698,Signal transduction / Histidine kinase,1,52
PDNGGCEH_00698,Signal transduction response regulator,1,52
PDNGGCEH_00698,Transcription regulator,1,52
PDNGGCEH_01030_PDNGGCEH_01031,fdhE; FdhE protein,1,32
PDNGGCEH_01030_PDNGGCEH_01031,"fdoH, fdsB; formate dehydrogenase iron-sulfur subunit",1,32
PDNGGCEH_01030_PDNGGCEH_01031,"fdoI, fdsG; formate dehydrogenase subunit gamma",1,32
PDNGGCEH_01030_PDNGGCEH_01031,NuoE,1,32
PDNGGCEH_01030_PDNGGCEH_01031,NuoF / NADP-reducing hydrogenase subunit HndC,1,32
